path,raw_sha256,lf_normalised_sha256,eol_on_disk,bytes,tracked_before_a14
baseline-arms/out/campaign/campaign_ar25.json,2d1d5140cdc3f6639addc98d45ef620b25bc07da8bb735c714bff240df4c183d,6175632a28047b7dfd8ccc4e8d5274ab3d535ca3a510d48a6ac654373a261abe,CRLF,4533,no
baseline-arms/out/campaign/campaign_g50t.json,d83ba976d9c2c79429e009af48c5923d5cd14061a9cff1f6739db9ce7fe2d469,f90fc162a9c3591138fed4c7b69204ade1f4f125ad1e43c0f146d800efc89f92,CRLF,4537,no
baseline-arms/out/campaign/campaign_sk48.json,6683f5d72e80206b58fbcd384e32067189d49174dd13ffcec9a2dc12e6b57ab2,771e4510e6ccbdc213304279458bf2a401739d5e42558be2ea47846260b52898,CRLF,4535,no
baseline-arms/out/campaign/campaign_tn36.json,35a8c66fb97432aa0d499d3256a8d2b37ab15e0c878f2cb62cd1b411a85e47ec,6b5d9dc7baa069c26017bae38e17eaf3251c45dd73dafe91ea8fdae1ecfda632,CRLF,4540,no
baseline-arms/out/shards/ledger.ar25.jsonl,a82d1f40c667ec772bf1660d3ac6510ce40d304a9dfb6df5c32c15e9be904db9,a82d1f40c667ec772bf1660d3ac6510ce40d304a9dfb6df5c32c15e9be904db9,LF,6267799,no
baseline-arms/out/shards/ledger.g50t.jsonl,7fd8aa904542532b51a727d7c4844c41d7eedac8d166fb283eb650e642ce7ea5,7fd8aa904542532b51a727d7c4844c41d7eedac8d166fb283eb650e642ce7ea5,LF,38311448,no
baseline-arms/out/shards/ledger.sk48.jsonl,4ba20da9819d450b4f0ab489e0611b74a569ba3190d202926792a4dca5199ba0,4ba20da9819d450b4f0ab489e0611b74a569ba3190d202926792a4dca5199ba0,LF,6919008,no
baseline-arms/out/shards/ledger.tn36.jsonl,bacb484ae81ce815e67bb7eae6372cd97a85e50793dccb8268c75a8d5b2b642b,bacb484ae81ce815e67bb7eae6372cd97a85e50793dccb8268c75a8d5b2b642b,LF,3636837,no
baseline-arms/out/shards/probe_log.ar25.jsonl,1db5457eecdc7a2fc7f68367971b186e17570bf50ca5fd52857446b404e83574,1db5457eecdc7a2fc7f68367971b186e17570bf50ca5fd52857446b404e83574,LF,2362554,no
baseline-arms/out/shards/probe_log.g50t.jsonl,b6609065cf354cb51578aa9194c4977a1fa2e400ee95efd1031afe036754a899,b6609065cf354cb51578aa9194c4977a1fa2e400ee95efd1031afe036754a899,LF,2669737,no
baseline-arms/out/shards/probe_log.sk48.jsonl,3a19f8912a91dd666dc81d9e376767c201148285d015f1e748a05428dc16e05d,3a19f8912a91dd666dc81d9e376767c201148285d015f1e748a05428dc16e05d,LF,1935799,no
baseline-arms/out/shards/probe_log.tn36.jsonl,acc22260911d99aec6722d2d694e0ad46c2e5dfde3f2292802bf588d5cbf7b0a,acc22260911d99aec6722d2d694e0ad46c2e5dfde3f2292802bf588d5cbf7b0a,LF,1872168,no
