arm,game_id,model,run_id,turn,cost_usd,cum_cost_usd,frac_of_run,frac_of_spend,failed_step,outcome,e2_frontload_index,e2_status,e3_convergence_point,e3_status,e4_context_growth,e4_status,battery_turns,turn_axis_agrees
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,23,0.032632,0.754299,0.793103,0.752670,false,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,24,0.030783,0.785081,0.827586,0.783386,false,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,25,0.064931,0.850012,0.862069,0.848176,true,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,26,0.029886,0.879898,0.896552,0.877998,false,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,27,0.042638,0.922536,0.931034,0.920544,true,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,28,0.037438,0.959974,0.965517,0.957902,false,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,29,0.042189,1.002164,1.000000,1.000000,true,,0.220719848,ok,0.931034483,ok,0.260812287,ok,29,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,1,0.028237,0.028237,0.041667,0.035474,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,2,0.032633,0.060869,0.083333,0.076470,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,3,0.028133,0.089002,0.125000,0.111814,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,4,0.030395,0.119398,0.166667,0.150001,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,5,0.028975,0.148373,0.208333,0.186401,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,6,0.029124,0.177496,0.250000,0.222989,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,7,0.028842,0.206338,0.291667,0.259223,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,8,0.031609,0.237947,0.333333,0.298934,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,9,0.029693,0.267640,0.375000,0.336237,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,10,0.030316,0.297956,0.416667,0.374324,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,11,0.039063,0.337020,0.458333,0.423400,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,12,0.033740,0.370760,0.500000,0.465788,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,13,0.033385,0.404146,0.541667,0.507731,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,14,0.033199,0.437345,0.583333,0.549439,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,15,0.042475,0.479821,0.625000,0.602802,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,16,0.031311,0.511132,0.666667,0.642139,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,17,0.031325,0.542458,0.708333,0.681493,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,18,0.029622,0.572079,0.750000,0.718707,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,19,0.030944,0.603024,0.791667,0.757582,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,20,0.057242,0.660265,0.833333,0.829495,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,21,0.031249,0.691515,0.875000,0.868754,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,22,0.033030,0.724545,0.916667,0.910251,false,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
